Symbol,ProbBreakout,Close,RSI,VolRatio,BB_Pos,Liquidity(AvgRp)
EXCL.JK,0.5749712586402893,2750.0,63.72549019607843,1.063613032844785,0.9779091210303752,30718192400.0
TLKM.JK,0.5105377435684204,3490.0,62.893081761006286,1.2789029397156348,0.9472474642317318,342476467700.0
GGRM.JK,0.5060572028160095,16975.0,80.80495356037152,0.6352433288585418,0.9705281772730158,59203296625.0
AKRA.JK,0.37146446108818054,1270.0,79.71014492753623,0.49714860911518755,0.9479757758882974,44391137100.0
HMSP.JK,0.3441716730594635,875.0,78.26086956521739,0.8217419749175148,0.8836218159521342,124678625775.0
BBYB.JK,0.3339422345161438,404.0,67.10526315789474,0.7902547601613802,0.8504950003073004,51104361620.0
BBNI.JK,0.2579598128795624,4490.0,86.73469387755102,0.5688545732808281,0.8497605064323366,332664567550.0
PTBA.JK,0.23643678426742554,2390.0,76.19047619047619,0.5399597646507655,0.7388442350725947,37668709900.0
ADRO.JK,0.15621352195739746,1905.0,66.91729323308272,0.45015990754924884,0.7968263422503237,327981626275.0
META.JK,0.1478472203016281,238.0,61.53846153846153,0.5628961400449378,0.6475150384651363,87174213945.0
MAPI.JK,0.10407610237598419,1305.0,67.41573033707866,0.3835941921245764,0.8221343017094289,39092260900.0
PGAS.JK,0.10330409556627274,1740.0,65.4320987654321,0.4036036483169103,0.7280763146618572,77986885275.0
MDKA.JK,0.09989329427480698,2400.0,52.63157894736841,0.4526652937424257,0.6768200673626312,181328089750.0
UNVR.JK,0.0790247991681099,2650.0,76.03833865814697,0.422716852586543,0.8213617913921074,189850142150.0
INCO.JK,0.07541408389806747,4560.0,54.03225806451612,0.38081779005111926,0.7135321565577307,47704635600.0
BMRI.JK,0.06921190023422241,4740.0,79.48717948717949,0.3644762397621576,0.8466383549504723,902109929050.0
BBRI.JK,0.058758895844221115,3990.0,81.0126582278481,0.5874756753032448,0.8365755660248999,1052482853750.0
UNTR.JK,0.02431783638894558,27075.0,60.36866359447005,0.8811625870259463,0.6086936655142221,100890564750.0
ISAT.JK,0.022427568212151527,1905.0,48.64864864864865,0.4271253117805364,0.5966890312896076,41222403975.0
ASII.JK,0.02019350230693817,6300.0,62.35294117647059,0.5938842005446671,0.6740861556337359,297460215875.0
MBMA.JK,0.01837935298681259,625.0,52.72727272727273,0.340660915446511,0.6423765024386037,169729962875.0
GIAA.JK,0.01591532863676548,116.0,57.35294117647059,0.4402659399409395,0.7249294538765761,41141705530.0
PTRO.JK,0.015366913750767708,7350.0,58.78378378378378,1.2086339973234532,0.8321167170871542,586904271625.0
GOTO.JK,0.006270199548453093,57.0,60.0,0.6720017582931849,0.6584531920397115,142559159145.0
HRUM.JK,0.005925991106778383,1085.0,40.449438202247194,0.7784527889750373,0.2541079172089013,55706732250.0
BREN.JK,0.005118058994412422,9375.0,46.464646464646464,1.130179986265285,0.5511219164897034,346730734875.0
BBCA.JK,0.005033132620155811,8625.0,78.94736842105263,0.46291705239212133,0.7944861360390895,1657967671500.0
KLBF.JK,0.004267847165465355,1210.0,64.04494382022472,0.6683553183580538,0.5521607082110661,93536209825.0
IMPC.JK,0.0022707097232341766,2640.0,53.55191256830601,2.246368238073565,0.6786458690721524,132933342450.0
BUKA.JK,0.00225017755292356,167.0,59.375,0.26734626818608814,0.48191312668739933,41982743505.0
BRIS.JK,0.0019390390953049064,2530.0,53.48837209302325,0.6003867617469364,0.23752800049794826,49872427100.0
ADMR.JK,0.0012074502883479,1350.0,54.77707006369427,0.36098412786062917,0.4850261996369595,182994115350.0
MEDC.JK,0.0010634394129738212,1370.0,46.47887323943662,0.898214204397989,0.39807084961010375,81929217825.0
TINS.JK,0.0010178607190027833,2410.0,61.37931034482759,1.1797900984654768,0.5606619614772205,366358551175.0
BUVA.JK,0.0006699152872897685,755.0,44.143159428986635,0.8043807394074163,0.6113669368874781,160834283724.19647
INDF.JK,0.0005824387772008777,7075.0,56.36363636363637,1.3507355813045177,0.2359937101336539,62923464625.0
AMMN.JK,0.0005173508543521166,6975.0,45.736434108527135,0.6338157224568908,0.2237521735954553,240115985375.0
BIPI.JK,0.00050490687135607,80.0,13.043478260869563,0.3602876468142869,0.17820788414393948,37148026545.0
EMTK.JK,0.0003698508080560714,1180.0,37.16216216216216,0.45168211712712963,0.3093877798828249,225632530425.0
ENRG.JK,0.0003554087888915092,835.0,33.98058252427184,1.0858966258453298,0.20918294062560025,122971353425.0
ICBP.JK,0.0003334313223604113,8500.0,45.45454545454546,0.8050318291437635,0.1611673044503529,84355897375.0
ANTM.JK,0.00028876442229375243,2990.0,25.882352941176478,1.4321207772093034,0.024797219724568758,487627702550.0
SCMA.JK,0.0002874561178032309,362.0,36.666666666666664,0.6934200888889896,0.4049325484176328,85062987190.0
BRMS.JK,0.0001579280651640147,930.0,35.8695652173913,1.0131610000132005,0.40101173647861477,673379541975.0
CUAN.JK,9.855566167971119e-05,2030.0,26.80412371134021,1.1242967872918588,0.25930264462258573,588234405850.0
JSMR.JK,8.707158849574625e-05,3530.0,34.34343434343434,0.673483820852608,0.02464930495416427,33971020200.0
AMRT.JK,4.731078297481872e-05,1905.0,25.954198473282446,1.006254807419072,0.11622620622714926,119108216000.0
BRPT.JK,4.126450585317798e-05,3540.0,39.52095808383234,0.9795391015441287,0.29269680662756753,549092214500.0
