Symbol,ProbTop,PredictedRet
WSBP.JK,0.061587706208229065,-0.04166666666666663
NISP.JK,0.06109587103128433,0.01090909090909098
BRIS.JK,0.061090197414159775,-0.007843137254901933
ASRI.JK,0.05986958369612694,0.024691358024691468
MDIA.JK,0.05954479053616524,-0.02941176470588236
CTRA.JK,0.05905740335583687,0.011299435028248483
ELSA.JK,0.0571335032582283,0.02941176470588225
HEAL.JK,0.054666124284267426,0.0033333333333334103
PNBN.JK,0.05370980501174927,0.014563106796116498
BCAP.JK,0.05320466682314873,0.0
ITMG.JK,0.05158257111907005,-0.02021276595744681
DILD.JK,0.05124958977103233,-0.02238805970149249
PTPP.JK,0.05005033314228058,-0.005235602094240788
KDSI.JK,0.04902709275484085,0.008583690987124415
SCCO.JK,0.048175521194934845,0.0
SMDR.JK,0.047494497150182724,0.006329113924050667
SMRA.JK,0.044772692024707794,0.020408163265306145
BUKA.JK,0.04472879692912102,0.005952380952380931
MEGA.JK,0.04428543895483017,0.0060975609756097615
DNET.JK,0.04420033097267151,-0.01098901098901095
PWON.JK,0.04210776463150978,0.021739130434782705
MNCN.JK,0.04000666365027428,-0.007462686567164201
ENVY.JK,0.037697289139032364,0.0
BYAN.JK,0.03715115413069725,0.0
BMTR.JK,0.029647648334503174,-0.00694444444444442
ROTI.JK,0.029184332117438316,0.006250000000000089
INDS.JK,0.022084811702370644,0.0
SMCB.JK,0.022081835195422173,0.03333333333333344
TMAS.JK,0.020324822515249252,-0.007692307692307665
