Symbol,ProbTop,PredictedRet
POLY.JK,0.3484055697917938,0.08333333333333326
GGRM.JK,0.33844366669654846,-0.034682080924855474
BRPT.JK,0.26704537868499756,0.06376811594202891
WIKA.JK,0.2336849719285965,0.035532994923857864
BRMS.JK,0.20521700382232666,0.059782608695652106
UNVR.JK,0.19852972030639648,0.03488372093023262
ASSA.JK,0.19701775908470154,0.05164319248826299
SILO.JK,0.191477432847023,-0.027649769585253448
ENRG.JK,0.18367771804332733,0.07272727272727275
KIOS.JK,0.1832534819841385,0.22535211267605626
TELE.JK,0.1805436760187149,-0.09999999999999998
MYOR.JK,0.17825211584568024,0.023474178403755763
TINS.JK,0.17598220705986023,-0.06367041198501877
ADMR.JK,0.17582251131534576,-0.010752688172043001
JSMR.JK,0.17495255172252655,0.0028011204481792618
CUAN.JK,0.17358775436878204,0.03980099502487566
PPRE.JK,0.16523894667625427,-0.024193548387096753
ASII.JK,0.16443070769309998,0.03252032520325199
INAF.JK,0.16134119033813477,0.0
TFAS.JK,0.1575470119714737,0.032258064516129004
DIVA.JK,0.1508440375328064,0.0
HMSP.JK,0.1504228711128235,-0.005714285714285672
ADRO.JK,0.14622862637043,0.02917771883289122
GIAA.JK,0.14271114766597748,0.017391304347825987
TOTL.JK,0.14153262972831726,0.03409090909090917
AMMN.JK,0.14145182073116302,-0.010563380281690127
TLKM.JK,0.13948506116867065,0.04361370716510904
EMTK.JK,0.13743922114372253,0.016877637130801704
MBMA.JK,0.13545846939086914,0.015873015873015817
ARTO.JK,0.13457463681697845,0.009132420091324311
EXCL.JK,0.1343356817960739,0.03065134099616862
SCMA.JK,0.1328982710838318,0.08875739644970415
MDLN.JK,0.12968291342258453,-0.03389830508474578
MDKA.JK,0.12959571182727814,-0.008196721311475419
KLBF.JK,0.12499618530273438,-0.019607843137254943
BBYB.JK,0.1243518814444542,0.03608247422680422
KIJA.JK,0.12304344773292542,0.005235602094240788
RALS.JK,0.11853167414665222,0.004672897196261738
ULTJ.JK,0.11515544354915619,0.006666666666666599
MIKA.JK,0.11488286405801773,0.015503875968992276
CSAP.JK,0.11145886033773422,-0.012269938650306789
CHIP.JK,0.11111535131931305,0.015444015444015413
WSKT.JK,0.10926800966262817,-0.01941747572815533
MAPI.JK,0.10742248594760895,0.015503875968992276
AMRT.JK,0.10487139970064163,-0.04228855721393032
BREN.JK,0.104701466858387,0.0691642651296831
BMRI.JK,0.10465298593044281,0.008474576271186418
AUTO.JK,0.10418316721916199,0.03921568627450989
INCO.JK,0.10366488248109818,-0.04210526315789476
MEDC.JK,0.10318133980035782,0.007518796992481258
INTA.JK,0.10125268250703812,-0.04761904761904767
PTSN.JK,0.10064321756362915,-0.005076142131979711
BTPS.JK,0.10003697872161865,0.007299270072992803
BIPI.JK,0.09971144050359726,0.0
HATM.JK,0.09882504492998123,0.0
PGAS.JK,0.09874756634235382,0.008620689655172376
KRAS.JK,0.0976279005408287,-0.0119760479041916
ISAT.JK,0.09739109128713608,0.021220159151193574
GJTL.JK,0.09662310034036636,0.004807692307692291
BBRI.JK,0.09625829756259918,0.015075376884422065
BSDE.JK,0.09585311263799667,-0.020408163265306145
BBCA.JK,0.09465228766202927,0.014662756598240456
GOTO.JK,0.09360457211732864,-0.01666666666666672
IPCM.JK,0.09296870976686478,0.012345679012345734
AKRA.JK,0.09280150383710861,0.024590163934426146
HRUM.JK,0.09204545617103577,-0.05128205128205132
BBNI.JK,0.09048747271299362,0.011415525114155223
INDF.JK,0.08782800287008286,-0.027027027027026973
META.JK,0.08715222030878067,0.0
WINS.JK,0.08489491045475006,0.037209302325581506
ABMM.JK,0.08426126092672348,0.013513513513513598
BJTM.JK,0.08418198674917221,0.0
AMAR.JK,0.0818251296877861,-0.008695652173912993
TSPC.JK,0.08058366924524307,0.06315789473684208
DCII.JK,0.07996562868356705,0.0009609840476647591
ANTM.JK,0.07941311597824097,0.003225806451612856
KAEF.JK,0.07835627347230911,-0.008264462809917328
BBKP.JK,0.07738636434078217,-0.014705882352941124
SMSM.JK,0.07705168426036835,0.0078125
SMGR.JK,0.076713927090168,0.01449275362318847
DLTA.JK,0.07663226872682571,0.014563106796116498
VIVA.JK,0.0758918970823288,0.0
PTBA.JK,0.0755249410867691,0.0
TCID.JK,0.07534415274858475,0.0
TOWR.JK,0.07426994293928146,0.00917431192660545
SIDO.JK,0.0731082335114479,0.02678571428571419
ADHI.JK,0.07220753282308578,0.007633587786259444
SATU.JK,0.07207348197698593,0.0
UNTR.JK,0.07111824303865433,0.013940520446096727
CLEO.JK,0.06919634342193604,-0.01851851851851849
WTON.JK,0.06873811036348343,0.0
BFIN.JK,0.06871650367975235,-0.012422360248447228
MTEL.JK,0.06864778697490692,0.0
DPNS.JK,0.0683261975646019,0.013071895424836555
ACES.JK,0.06815282255411148,0.0045045045045044585
ICBP.JK,0.06742823123931885,-0.02298850574712641
ESSA.JK,0.06706123799085617,0.024390243902439046
BJBR.JK,0.06695445626974106,0.006211180124223503
EDGE.JK,0.06669556349515915,-0.013483146067415741
MTDL.JK,0.06626440584659576,0.0
DVLA.JK,0.06602314859628677,-0.0030211480362537513
BEST.JK,0.06581655144691467,0.03738317757009346
LPKR.JK,0.06553832441568375,-0.011235955056179803
MCAS.JK,0.06359679251909256,-0.018292682926829285
PRDA.JK,0.06244884058833122,0.0
AGRO.JK,0.06234756112098694,-0.008620689655172376
SAFE.JK,0.061917874962091446,0.12352941176470589
INTP.JK,0.06170046702027321,0.02400000000000002
IMAS.JK,0.06164872273802757,0.01304347826086949
